CARD_ID|IMPL.|SET|FORMAT|TYPE|CLASS|NAME|TEXT
AT_073|True|TGT|W|SPELL|PALADIN|Competitive Spirit|<b>Secret:</b> When your turn starts, give your minions +1/+1.
AT_074|True|TGT|W|SPELL|PALADIN|Seal of Champions|Give a minion +3 Attack and <b>Divine Shield</b>.
AT_075|True|TGT|W|MINION|PALADIN|Warhorse Trainer|Your Silver Hand Recruits have +1 Attack.
AT_076|True|TGT|W|MINION|PALADIN|Murloc Knight|<b>Inspire:</b> Summon a random Murloc.
AT_077|True|TGT|W|WEAPON|PALADIN|Argent Lance|<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, +1 Durability.
AT_078|True|TGT|W|SPELL|PALADIN|Enter the Coliseum|Destroy all minions except each player's highest Attack minion.
AT_081|True|TGT|W|MINION|PALADIN|Eadric the Pure|<b>Battlecry:</b> Change all enemy minions' Attack to 1.
AT_082|True|TGT|W|MINION|NEUTRAL|Lowly Squire|<b>Inspire:</b> Gain +1 Attack.
AT_083|True|TGT|W|MINION|NEUTRAL|Dragonhawk Rider|<b>Inspire:</b> Gain <b>Windfury</b> this turn.
AT_084|True|TGT|W|MINION|NEUTRAL|Lance Carrier|<b>Battlecry:</b> Give a friendly minion +2 Attack.
AT_085|True|TGT|W|MINION|NEUTRAL|Maiden of the Lake|Your Hero Power costs (1).
AT_086|True|TGT|W|MINION|NEUTRAL|Saboteur|<b>Battlecry:</b> Your opponent's Hero Power costs (5) more next turn.
AT_087|True|TGT|W|MINION|NEUTRAL|Argent Horserider|<b>Charge</b> <b>Divine Shield</b>
AT_088|True|TGT|W|MINION|NEUTRAL|Mogor's Champion|50% chance to attack the wrong enemy.
AT_089|True|TGT|W|MINION|NEUTRAL|Boneguard Lieutenant|<b>Inspire:</b> Gain +1 Health.
AT_090|True|TGT|W|MINION|NEUTRAL|Mukla's Champion|<b>Inspire:</b> Give your other minions +1/+1.
AT_091|True|TGT|W|MINION|NEUTRAL|Tournament Medic|<b>Inspire:</b> Restore 2 Health to your hero.
AT_092|True|TGT|W|MINION|NEUTRAL|Ice Rager|
AT_093|True|TGT|W|MINION|NEUTRAL|Frigid Snobold|<b>Spell Damage +1</b>
AT_094|True|TGT|W|MINION|NEUTRAL|Flame Juggler|<b>Battlecry:</b> Deal 1 damage to a random enemy.
AT_095|True|TGT|W|MINION|NEUTRAL|Silent Knight|<b>Stealth</b> <b>Divine Shield</b>
AT_096|True|TGT|W|MINION|NEUTRAL|Clockwork Knight|<b>Battlecry:</b> Give a friendly Mech +1/+1.
AT_097|True|TGT|W|MINION|NEUTRAL|Tournament Attendee|<b>Taunt</b>
AT_098|True|TGT|W|MINION|NEUTRAL|Sideshow Spelleater|<b>Battlecry:</b> Copy your opponent's Hero Power.
AT_099|True|TGT|W|MINION|NEUTRAL|Kodorider|<b>Inspire:</b> Summon a 3/5 War Kodo.
AT_100|True|TGT|W|MINION|NEUTRAL|Silver Hand Regent|<b>Inspire:</b> Summon a 1/1 Silver Hand Recruit.
AT_101|True|TGT|W|MINION|NEUTRAL|Pit Fighter|
AT_102|True|TGT|W|MINION|NEUTRAL|Captured Jormungar|
AT_103|True|TGT|W|MINION|NEUTRAL|North Sea Kraken|<b>Battlecry:</b> Deal 4 damage.
AT_104|True|TGT|W|MINION|PALADIN|Tuskarr Jouster|<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, restore 7 Health to your hero.
AT_105|True|TGT|W|MINION|NEUTRAL|Injured Kvaldir|<b>Battlecry:</b> Deal 3 damage to this minion.
AT_106|True|TGT|W|MINION|NEUTRAL|Light's Champion|<b>Battlecry:</b> <b>Silence</b> a Demon.
AT_108|True|TGT|W|MINION|NEUTRAL|Armored Warhorse|<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, gain <b>Charge</b>.
AT_109|True|TGT|W|MINION|NEUTRAL|Argent Watchman|Can't attack. <b>Inspire:</b> Can attack as normal this turn.
AT_110|True|TGT|W|MINION|NEUTRAL|Coliseum Manager|<b>Inspire:</b> Return this minion to your hand.
AT_111|True|TGT|W|MINION|NEUTRAL|Refreshment Vendor|<b>Battlecry:</b> Restore 4 Health to each hero.
AT_112|True|TGT|W|MINION|NEUTRAL|Master Jouster|<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, gain <b>Taunt</b> and <b>Divine Shield</b>.
AT_113|True|TGT|W|MINION|NEUTRAL|Recruiter|<b>Inspire:</b> Add a 2/2 Squire to your hand.
AT_114|True|TGT|W|MINION|NEUTRAL|Evil Heckler|<b>Taunt</b>
AT_116|True|TGT|W|MINION|PRIEST|Wyrmrest Agent|<b>Battlecry:</b> If you're holding a Dragon, gain +1 Attack and <b>Taunt</b>.
AT_118|True|TGT|W|MINION|NEUTRAL|Grand Crusader|<b>Battlecry:</b> Add a random Paladin card to your hand.
AT_119|True|TGT|W|MINION|NEUTRAL|Kvaldir Raider|<b>Inspire:</b> Gain +2/+2.
AT_120|True|TGT|W|MINION|NEUTRAL|Frost Giant|Costs (1) less for each time you used your Hero Power this game.
AT_121|True|TGT|W|MINION|NEUTRAL|Crowd Favorite|Whenever you play a card with <b>Battlecry</b>, gain +1/+1.
AT_122|True|TGT|W|MINION|NEUTRAL|Gormok the Impaler|<b>Battlecry:</b> If you have at least 4 other minions, deal 4 damage.
AT_123|True|TGT|W|MINION|NEUTRAL|Chillmaw|<b>Taunt</b> <b>Deathrattle:</b> If you're holding a Dragon, deal 3 damage to all minions.
AT_125|True|TGT|W|MINION|NEUTRAL|Icehowl|<b>Charge</b> Can't attack heroes.
AT_127|True|TGT|W|MINION|NEUTRAL|Nexus-Champion Saraad|<b>Inspire:</b> Add a random spell to your hand.
AT_128|True|TGT|W|MINION|NEUTRAL|The Skeleton Knight|<b>Deathrattle:</b> Reveal a minion in each deck. If yours costs more, return this to your hand.
AT_129|True|TGT|W|MINION|NEUTRAL|Fjola Lightbane|Whenever <b>you</b> target this minion with a spell, gain <b>Divine Shield.</b>
AT_130|True|TGT|W|MINION|WARRIOR|Sea Reaver|When you draw this, deal 1 damage to your minions.
AT_131|True|TGT|W|MINION|NEUTRAL|Eydis Darkbane|Whenever <b>you</b> target this minion with a spell, deal 3 damage to a random enemy.
AT_132|True|TGT|W|MINION|NEUTRAL|Justicar Trueheart|<b>Battlecry:</b> Replace your starting Hero Power with a better one.
AT_133|True|TGT|W|MINION|NEUTRAL|Gadgetzan Jouster|<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, gain +1/+1.
BRM_001|True|BRM|W|SPELL|PALADIN|Solemn Vigil|Draw 2 cards. Costs (1) less for each minion that died this turn.
BRM_002|True|BRM|W|MINION|MAGE|Flamewaker|After you cast a spell, deal 2 damage randomly split among all enemies.
BRM_003|True|BRM|W|SPELL|MAGE|Dragon's Breath|Deal $4 damage. Costs (1) less for each minion that died this turn. *spelldmg
BRM_004|True|BRM|W|MINION|PRIEST|Twilight Whelp|<b>Battlecry:</b> If you're holding a Dragon, gain +2 Health.
BRM_005|True|BRM|W|SPELL|WARLOCK|Demonwrath|Deal $2 damage to all minions except Demons. *spelldmg
BRM_006|True|BRM|W|MINION|WARLOCK|Imp Gang Boss|Whenever this minion takes damage, summon a 1/1 Imp.
BRM_007|True|BRM|W|SPELL|ROGUE|Gang Up|Choose a minion. Shuffle 3 copies of it into your deck.
BRM_008|True|BRM|W|MINION|ROGUE|Dark Iron Skulker|<b>Battlecry:</b> Deal 2 damage to all undamaged enemy minions.
BRM_009|True|BRM|W|MINION|DRUID|Volcanic Lumberer|<b>Taunt</b> Costs (1) less for each minion that died this turn.
BRM_010|True|BRM|W|MINION|DRUID|Druid of the Flame|<b>Choose One -</b> Transform into a 5/2 minion; or a 2/5 minion.
BRM_011|True|BRM|W|SPELL|SHAMAN|Lava Shock|Deal $2 damage. Unlock your <b>Overloaded</b> Mana Crystals. *spelldmg
BRM_012|True|BRM|W|MINION|SHAMAN|Fireguard Destroyer|<b>Battlecry:</b> Gain 1-4 Attack. <b>Overload:</b> (1)
BRM_013|True|BRM|W|SPELL|HUNTER|Quick Shot|Deal $3 damage. If your hand is empty, draw a card. *spelldmg
BRM_014|True|BRM|W|MINION|HUNTER|Core Rager|<b>Battlecry:</b> If your hand is empty, gain +3/+3.
BRM_015|True|BRM|W|SPELL|WARRIOR|Revenge|Deal $1 damage to all minions. If you have 12 or less Health, deal $3 damage instead. *spelldmg
BRM_016|True|BRM|W|MINION|WARRIOR|Axe Flinger|Whenever this minion takes damage, deal 2 damage to the enemy hero.
BRM_017|True|BRM|W|SPELL|PRIEST|Resurrect|Summon a random friendly minion that died this game.
BRM_019|True|BRM|W|MINION|NEUTRAL|Grim Patron|Whenever this minion survives damage, summon another Grim Patron.
BRM_020|True|BRM|W|MINION|NEUTRAL|Dragonkin Sorcerer|Whenever <b>you</b> target this minion with a spell, gain +1/+1.
BRM_022|True|BRM|W|MINION|NEUTRAL|Dragon Egg|Whenever this minion takes damage, summon a 2/1 Whelp.
BRM_024|True|BRM|W|MINION|NEUTRAL|Drakonid Crusher|<b>Battlecry:</b> If your opponent has 15 or less Health, gain +3/+3.
BRM_025|True|BRM|W|MINION|NEUTRAL|Volcanic Drake|Costs (1) less for each minion that died this turn.
BRM_026|True|BRM|W|MINION|NEUTRAL|Hungry Dragon|<b>Battlecry:</b> Summon a random 1-Cost minion for your opponent.
BRM_027|True|BRM|W|MINION|NEUTRAL|Majordomo Executus|<b>Deathrattle:</b> Replace your hero with Ragnaros, the Firelord.
BRM_028|True|BRM|W|MINION|NEUTRAL|Emperor Thaurissan|At the end of your turn, reduce the Cost of cards in your hand by (1).
BRM_029|True|BRM|W|MINION|NEUTRAL|Rend Blackhand|<b>Battlecry:</b> If you're holding a Dragon, destroy a <b>Legendary</b> minion.
BRM_030|True|BRM|W|MINION|NEUTRAL|Nefarian|<b>Battlecry:</b> Add 2 random spells to your hand <i>(from your opponent's class)</i>.
BRM_031|True|BRM|W|MINION|NEUTRAL|Chromaggus|Whenever you draw a card, put another copy into your hand.
BRM_033|True|BRM|W|MINION|NEUTRAL|Blackwing Technician|<b>Battlecry:</b> If you're holding a Dragon, gain +1/+1.
BRM_034|True|BRM|W|MINION|NEUTRAL|Blackwing Corruptor|<b>Battlecry:</b> If you're holding a Dragon, deal 3 damage.
CFM_020|False|GANGS|S|MINION|PRIEST|Raza the Chained|<b>Battlecry:</b> If your deck has   no duplicates, your Hero  Power costs (0) this game.
CFM_021|True|GANGS|S|SPELL|MAGE|Freezing Potion|<b>Freeze</b> an enemy.
CFM_025|True|GANGS|S|MINION|NEUTRAL|Wind-up Burglebot|Whenever this attacks a minion and survives, draw_a card.
CFM_026|True|GANGS|S|SPELL|HUNTER|Hidden Cache|<b>Secret:</b> After your opponent plays a minion, give a random minion in your hand +2/+2.
CFM_039|True|GANGS|S|MINION|NEUTRAL|Street Trickster|<b>Spell Damage +1</b>
CFM_060|True|GANGS|S|MINION|NEUTRAL|Red Mana Wyrm|Whenever  you cast a spell, gain +2 Attack.
CFM_061|True|GANGS|S|MINION|SHAMAN|Jinyu Waterspeaker|<b>Battlecry:</b> Restore 6 Health. <b>Overload:</b> (1)
CFM_062|True|GANGS|S|MINION|PALADIN|Grimestreet Protector|<b>Taunt</b> <b>Battlecry:</b> Give adjacent _minions <b>Divine Shield</b>.
CFM_063|True|GANGS|S|MINION|NEUTRAL|Kooky Chemist|<b>Battlecry:</b> Swap the Attack and Health of a minion.
CFM_064|True|GANGS|S|MINION|NEUTRAL|Blubber Baron|Whenever you summon a <b>Battlecry</b> minion while this_is in your hand, gain_+1/+1.
CFM_065|True|GANGS|S|SPELL|MAGE|Volcanic Potion|Deal $2 damage to all_minions. *spelldmg
CFM_066|False|GANGS|S|MINION|MAGE|Kabal Lackey|<b>Battlecry:</b> The next <b>Secret</b> you play this turn costs (0).
CFM_067|True|GANGS|S|MINION|NEUTRAL|Hozen Healer|<b>Battlecry</b>: Restore a minion to full Health.
CFM_094|True|GANGS|S|SPELL|WARLOCK|Felfire Potion|Deal $5 damage to all characters. *spelldmg
CFM_095|True|GANGS|S|MINION|NEUTRAL|Weasel Tunneler|<b>Deathrattle:</b> Shuffle this minion into your opponent's deck.
CFM_120|True|GANGS|S|MINION|NEUTRAL|Mistress of Mixtures|<b>Deathrattle:</b> Restore 4 Health to each hero.
CFM_300|True|GANGS|S|MINION|WARRIOR|Public Defender|<b>Taunt</b>
CFM_305|True|GANGS|S|SPELL|PALADIN|Smuggler's Run|Give all minions in your hand +1/+1.
CFM_308|True|GANGS|S|MINION|DRUID|Kun the Forgotten King|<b>Choose One -</b> Gain 10 Armor; or Refresh your Mana Crystals.
CFM_310|True|GANGS|S|SPELL|SHAMAN|Call in the Finishers|Summon four 1/1 Murlocs.
CFM_312|True|GANGS|S|MINION|SHAMAN|Jade Chieftain|<b>Battlecry:</b> Summon a{1} {0} <b>Jade Golem</b>. Give it <b>Taunt</b>. @<b>Battlecry:</b> Summon a <b>Jade Golem</b>. Give it <b>Taunt</b>.
CFM_313|True|GANGS|S|SPELL|SHAMAN|Finders Keepers|<b>Discover</b> a card with_<b>Overload</b>. <b>Overload:</b> (1)
CFM_315|True|GANGS|S|MINION|HUNTER|Alleycat|<b>Battlecry:</b> Summon a 1/1_Cat.
CFM_316|True|GANGS|S|MINION|HUNTER|Rat Pack|<b>Deathrattle:</b> Summon a number of 1/1 Rats equal _to this minion's Attack.
CFM_321|True|GANGS|S|MINION|NEUTRAL|Grimestreet Informant|<b>Battlecry:</b> <b>Discover</b> a Hunter, Paladin, or Warrior card.
CFM_324|True|GANGS|S|MINION|SHAMAN|White Eyes|<b>Taunt</b> <b>Deathrattle:</b> Shuffle 'The Storm Guardian' into your deck.
CFM_325|True|GANGS|S|MINION|NEUTRAL|Small-Time Buccaneer|Has +2 Attack while you have a weapon equipped.
CFM_328|True|GANGS|S|MINION|NEUTRAL|Fight Promoter|<b>Battlecry:</b> If you control a minion with 6 or more _Health, draw two cards.
CFM_333|True|GANGS|S|MINION|HUNTER|Knuckles|After this attacks a minion, it also hits the enemy hero.
CFM_334|True|GANGS|S|SPELL|HUNTER|Smuggler's Crate|Give a random Beast in your hand +2/+2.
CFM_335|True|GANGS|S|MINION|HUNTER|Dispatch Kodo|<b>Battlecry:</b> Deal damage equal to this minion's Attack.
CFM_336|True|GANGS|S|MINION|HUNTER|Shaky Zipgunner|<b>Deathrattle:</b> Give a random minion in your hand +2/+2.
CFM_337|True|GANGS|S|WEAPON|HUNTER|Piranha Launcher|After your hero attacks, summon a 1/1 Piranha.
CFM_338|True|GANGS|S|MINION|HUNTER|Trogg Beastrager|<b>Battlecry:</b> Give a random Beast in your hand +1/+1.
CFM_341|True|GANGS|S|MINION|NEUTRAL|Sergeant Sally|<b>Deathrattle:</b> Deal damage equal to this minion's Attack to all enemy minions.
CFM_342|True|GANGS|S|MINION|ROGUE|Luckydo Buccaneer|<b>Battlecry:</b> If your weapon has at least 3 Attack, gain +4/+4.
CFM_343|True|GANGS|S|MINION|DRUID|Jade Behemoth|<b>Taunt</b> <b>Battlecry:</b> Summon a{1} {0} <b>Jade Golem</b>.@<b>Taunt</b> <b>Battlecry:</b> Summon a <b>Jade Golem</b>.
CFM_344|True|GANGS|S|MINION|NEUTRAL|Finja, the Flying Star|<b>Stealth</b>    Whenever this attacks and    kills a minion, summon 2 _Murlocs from your deck.
CFM_602|True|GANGS|S|SPELL|DRUID|Jade Idol|<b>Choose One -</b> Summon a{1} {0} <b>Jade Golem</b>; or Shuffle 3 copies of this card into your deck.@<b>Choose One -</b> Summon a <b>Jade Golem</b>; or Shuffle 3 copies of this card into your deck.
CFM_603|False|GANGS|S|SPELL|PRIEST|Potion of Madness|Gain control of an enemy minion with 2 or less Attack until end of turn.
CFM_604|True|GANGS|S|SPELL|PRIEST|Greater Healing Potion|Restore #12 Health to a friendly character.
CFM_605|True|GANGS|S|MINION|PRIEST|Drakonid Operative|<b>Battlecry:</b> If you're holding a Dragon, <b>Discover</b> a card in _your opponent's deck.
CFM_606|True|GANGS|S|MINION|PRIEST|Mana Geode|Whenever this minion is_healed, summon a 2/2_Crystal.
CFM_608|True|GANGS|S|SPELL|WARLOCK|Blastcrystal Potion|Destroy a minion and one of your Mana Crystals.
CFM_609|True|GANGS|S|MINION|NEUTRAL|Fel Orc Soulfiend|At the start of your turn, deal 2 damage to this_minion.
CFM_610|True|GANGS|S|MINION|WARLOCK|Crystalweaver|<b>Battlecry:</b> Give your Demons +1/+1.
CFM_611|True|GANGS|S|SPELL|WARLOCK|Bloodfury Potion|Give a minion +3 Attack. If it's a Demon, also give it +3 Health.
CFM_614|True|GANGS|S|SPELL|DRUID|Mark of the Lotus|Give your minions +1/+1.
CFM_616|True|GANGS|S|SPELL|DRUID|Pilfered Power|Gain an empty Mana Crystal for each friendly minion.
CFM_617|True|GANGS|S|MINION|DRUID|Celestial Dreamer|<b>Battlecry:</b> If you control a minion with 5 or more Attack, gain +2/+2.
CFM_619|True|GANGS|S|MINION|NEUTRAL|Kabal Chemist|<b>Battlecry:</b> Add a random Potion to your hand.
CFM_620|True|GANGS|S|SPELL|MAGE|Potion of Polymorph|<b>Secret:</b> After your opponent plays a minion, transform it into a 1/1 Sheep.
CFM_621|True|GANGS|S|MINION|NEUTRAL|Kazakus|<b>Battlecry:</b> If your deck has no duplicates, _create a custom spell.
CFM_623|True|GANGS|S|SPELL|MAGE|Greater Arcane Missiles|Shoot three missiles at random enemies that deal $3 damage each. *spelldmg
CFM_626|True|GANGS|S|MINION|PRIEST|Kabal Talonpriest|<b>Battlecry:</b> Give a friendly minion +3 Health.
CFM_630|True|GANGS|S|SPELL|ROGUE|Counterfeit Coin|Gain 1 Mana Crystal this turn only.
CFM_631|False|GANGS|S|WEAPON|WARRIOR|Brass Knuckles|After your hero attacks, give a random minion in your hand +1/+1.
CFM_634|True|GANGS|S|MINION|ROGUE|Lotus Assassin|<b>Stealth</b>. Whenever this attacks and kills a minion, gain <b>Stealth</b>.
CFM_636|True|GANGS|S|MINION|ROGUE|Shadow Rager|<b>Stealth</b>
CFM_637|True|GANGS|S|MINION|NEUTRAL|Patches the Pirate|<b>Charge</b> After you play a Pirate, summon this minion from your deck.
CFM_639|True|GANGS|S|MINION|PALADIN|Grimestreet Enforcer|At the end of your turn, give all minions in your hand +1/+1.
CFM_643|True|GANGS|S|MINION|WARRIOR|Hobart Grapplehammer|<b>Battlecry:</b> Give all weapons in your hand and deck +1 Attack.
CFM_646|True|GANGS|S|MINION|NEUTRAL|Backstreet Leper|<b>Deathrattle:</b> Deal 2 damage to the enemy hero.
CFM_647|True|GANGS|S|MINION|NEUTRAL|Blowgill Sniper|<b>Battlecry:</b> Deal 1 damage.
CFM_648|True|GANGS|S|MINION|NEUTRAL|Big-Time Racketeer|<b>Battlecry:</b> Summon a 6/6_Ogre.
CFM_649|True|GANGS|S|MINION|NEUTRAL|Kabal Courier|<b>Battlecry:</b> <b>Discover</b> a Mage, Priest, or Warlock card.
CFM_650|True|GANGS|S|MINION|PALADIN|Grimscale Chum|<b>Battlecry:</b> Give a random Murloc in your hand +1/+1.
CFM_651|True|GANGS|S|MINION|NEUTRAL|Naga Corsair|<b>Battlecry:</b> Give your weapon +1 Attack.
CFM_652|True|GANGS|S|MINION|NEUTRAL|Second-Rate Bruiser|<b>Taunt</b> Costs (2) less if your opponent has at least three minions.
CFM_653|True|GANGS|S|MINION|NEUTRAL|Hired Gun|<b>Taunt</b>
CFM_654|True|GANGS|S|MINION|NEUTRAL|Friendly Bartender|At the end of your turn, restore 1 Health to your_hero.
